full_name,,,goals_overall,assists_overall,yellow_cards_overall
Aaron Cresswell,,,0,1,1
Aaron Lennon,,,1,1,1
Aaron Mooy,,,3,1,4
Aaron Ramsey,,,4,6,0
Aaron Rowe,,,0,0,0
Aaron Wan-Bissaka,,,0,3,5
Abdelhamid Sabiri,,,0,0,0
Abdoulaye Doucouré,,,5,6,7
Aboubakar Kamara,,,3,0,2
Adalberto Peñaranda Maestre,,,0,0,0
Adam David Lallana,,,0,0,1
Adam Masina,,,0,1,5
Adam Smith,,,1,1,6
Adama Diakhaby,,,0,0,1
Adama Traoré Diarra,,,1,1,1
Ademola Lookman,,,0,2,0
Adrian Mariappa,,,0,0,3
Adrián San Miguel del Castillo,,,0,0,0
Adrien Sebastian Perruchet Silva,,,0,0,0
Ainsley Maitland-Niles,,,1,1,3
Alberto Moreno,,,0,0,0
Aleksandar Mitrović,,,11,3,7
Alex Iwobi,,,3,6,0
Alex McCarthy,,,0,0,1
Alex Oxlade-Chamberlain,,,0,0,0
Alex Pritchard,,,2,0,2
Alex Smithies,,,0,0,0
Alexander Sørloth,,,0,0,0
Alexandre Lacazette,,,13,8,2
Alexandre Nascimento Costa Silva,,,0,0,0
Alexis Sanchez,,,1,3,3
Alfie Jones,,,0,0,0
Alfie Mawson,,,0,0,2
Alfie Whiteman,,,0,0,0
Ali Koiki,,,0,0,0
Alireza Jahanbakhsh,,,0,0,2
Alisson Becker,,,0,0,1
Alvaro Morata,,,5,0,3
Ander Herrera,,,2,3,4
André Filipe Tavares Gomes,,,1,1,7
Andre Gray,,,7,2,2
André Schürrle,,,6,0,2
André-Frank Zambo Anguissa,,,0,0,3
Andreas Christensen,,,0,0,1
Andreas Pereira,,,1,1,5
Andrew Robertson,,,0,11,4
Andrew Surman,,,0,0,2
Andriy Yarmolenko,,,2,0,2
Andros Townsend,,,6,4,1
Andy Carroll,,,0,0,2
Angel Gomes,,,0,0,0
Angelo Ogbonna,,,1,1,2
Angus Gunn,,,0,0,0
Anthony Driscoll-Glennon,,,0,0,0
Anthony Knockaert,,,2,6,5
Anthony Martial,,,10,2,2
Antonio Barreca,,,0,0,0
Antonio Rüdiger,,,1,0,7
Antonio Valencia,,,0,0,2
Arijanet Muric,,,0,0,0
Aron Einar Gunnarsson,,,1,1,5
Arthur Masuaku,,,0,1,2
Artur Boruc,,,0,0,2
Ashley Barnes,,,12,2,8
Ashley Westwood,,,2,7,5
Ashley Young,,,2,2,10
Asmir Begović,,,0,0,0
Aymeric Laporte,,,3,3,3
Ayoze Perez,,,12,2,2
Bakary Sako,,,0,0,0
Ben Chilwell,,,0,4,4
Ben Davies,,,0,0,2
Ben Foster,,,0,0,1
Ben Gibson,,,1,0,1
Ben Hamer,,,0,0,0
Ben Mee,,,0,2,9
Ben White,,,0,0,0
Ben Wilmot,,,0,0,0
Benjamin Johnson,,,0,0,0
Benjamin Mendy,,,0,5,1
Beram Kayal,,,1,1,4
Bernard Anício Caldeira Duarte,,,1,3,5
Bernardo,,,0,1,4
Bernardo Silva,,,7,7,3
Bernd Leno,,,0,0,0
Bobby Reid,,,5,2,0
Brian Murphy,,,0,0,0
Bright Enobakhare,,,0,0,0
Bruno Écuélé Manga,,,0,1,0
Bruno Saltor Grau,,,0,1,2
Caglar Söyüncü,,,0,0,1
Callum Hudson-Odoi,,,0,1,0
Callum Paterson,,,4,1,4
Callum Roberts,,,0,0,0
Callum Slattery,,,0,0,0
Callum Wilson,,,14,9,3
Calum Chambers,,,2,0,9
Cameron John,,,0,0,0
Carl Jenkinson,,,0,0,0
Carlos Sánchez,,,0,0,0
Cedric Soares,,,1,2,4
Cenk Tosun,,,3,3,3
Cesar Azpilicueta,,,1,5,4
Cesc Fabregas,,,0,0,1
Charlie Austin,,,2,2,1
Charlie Daniels,,,1,0,4
Charlie Taylor,,,0,1,2
Cheikhou Kouyaté,,,0,2,3
Chris Löwe,,,0,2,2
Chris Mepham,,,0,1,1
Chris Smalling,,,1,0,1
Chris Wood,,,10,2,2
Christian Atsu Twasam,,,1,0,2
Christian Benteke,,,1,1,1
Christian Eriksen,,,8,12,3
Christian Fuchs,,,0,0,0
Christian Kabasele,,,0,0,4
Christopher Schindler,,,1,0,6
Ciaran Clark,,,3,0,1
Claudio Andrés Bravo Muñoz,,,0,0,0
Collin Quaner,,,0,0,0
Connor Wickham,,,0,1,0
Conor Coady,,,0,0,5
Conor Coventry,,,0,0,0
Craig Cathcart,,,3,0,2
Curtis Jones,,,0,0,0
Cyrus Christie,,,0,1,7
Dale Stephens,,,1,1,7
Damián Emiliano Martínez,,,0,0,0
Dan Burn,,,0,0,0
Dan Gosling,,,2,1,8
Daniel Amartey,,,0,0,2
Daniel Sturridge,,,2,1,1
Daniel William John Ings,,,7,3,1
Daniel Williams,,,0,0,1
Danilo,,,1,0,1
Danny Drinkwater,,,0,0,0
Danny Rose,,,0,3,5
Danny Simpson,,,0,0,0
Danny Ward,,,0,0,0
Danny Ward,,,1,0,0
Danny Welbeck,,,1,1,0
Daryl Janmaat,,,0,2,3
David Brooks,,,7,5,3
David Button,,,0,0,0
David de Gea,,,0,0,1
David Junior Hoilett,,,3,1,4
David Luiz,,,3,2,3
David Silva,,,6,8,3
Davide Zappacosta,,,0,0,0
Davinson Sánchez Mina,,,1,1,2
Davy Pröpper,,,1,1,2
DeAndre Yedlin,,,1,2,7
Declan Rice,,,2,0,4
Dejan Lovren,,,1,0,1
Dele Alli,,,5,3,4
Demarai Gray,,,4,1,2
Demeaco Duhaney,,,0,0,0
Denis Odoi,,,0,1,4
Denis Suárez,,,0,0,0
Diego Rico,,,0,0,1
Diogo José Teixeira da Silva,,,9,5,11
Divock Origi,,,3,1,0
Domingos Quina,,,1,0,0
Dominic Calvert-Lewin,,,6,2,3
Dominic Solanke,,,0,1,0
Dwight McNeil,,,3,5,2
Eden Hazard,,,16,15,2
Ederson,,,0,1,2
Edward Nketiah,,,1,0,0
Elias Kachunga,,,0,0,2
Emerson Hyndman,,,0,0,0
Emerson Palmieri dos Santos,,,0,0,0
Emile Smith Rowe,,,0,0,0
Eric Bertrand Bailly,,,0,0,1
Eric Dier,,,3,0,4
Erik Durm,,,0,1,0
Erik Lamela,,,4,2,2
Ethan Ampadu,,,0,0,0
Etienne Capoue,,,1,3,15
Fabián Cornelio Balbuena González,,,1,0,2
Fabian Delph,,,0,1,2
Fabian Schär,,,4,1,12
Fabinho,,,1,2,6
Fabricio Martín Agosto Ramírez,,,0,0,0
Faustino Marcos Alberto Rojo,,,0,0,2
Federico Fernández,,,0,1,2
Felipe Anderson Pereira Gomes,,,9,4,3
Fernando Llorente Torres,,,1,4,2
Fernando Luiz Rosa,,,1,3,5
Florent Hadergjonaj,,,0,0,1
Florian Lejeune,,,0,0,0
Florin Andone,,,3,0,5
Floyd Ayité,,,1,0,0
Fousseni Diabaté,,,0,0,0
Francisco Femenía Far,,,1,1,1
Fraser Forster,,,0,0,0
Fred,,,1,1,2
Freddie Woodman,,,0,0,0
Gabriel Jesus,,,7,3,1
Gaëtan Bong Songo,,,0,0,0
Gary Cahill,,,0,0,0
Gary Madine,,,0,0,0
George Marsh,,,0,0,0
Georges-Kevin N'Koudou Mbida,,,0,1,0
Georginio Wijnaldum,,,3,0,3
Gerard Deulofeu,,,10,5,3
Glenn Murray,,,13,1,5
Gonzalo Higuain,,,5,0,0
Grady Diangana,,,0,1,0
Granit Xhaka,,,4,2,10
Greg Cunningham,,,0,0,3
Gylfi Sigurdsson,,,13,6,3
Hamza Choudhury,,,0,0,0
Harry Arter,,,0,1,10
Harry Kane,,,17,4,5
Harry Maguire,,,3,0,7
Harry Winks,,,1,0,4
Harvey Barnes,,,1,2,0
Håvard Nordtveit,,,0,1,0
Hector Bellerin,,,0,5,3
Hélder Wander Sousa Azevedo Costa,,,1,2,3
Henrikh Mkhitaryan,,,6,4,1
Heung-Min Son,,,12,6,3
Heurelho da Silva Gomes,,,0,0,0
Hugo Lloris,,,0,0,0
Ibrahima Cissé,,,0,0,0
Idrissa Gana Gueye,,,0,2,6
İlkay Gündoğan,,,6,3,3
Isaac Ajayi Success,,,1,1,4
Isaac Hayden,,,1,4,4
Isaac Mbenza,,,1,1,1
Issa Diop,,,1,0,4
Ivan Ricardo Neves Abreu Cavaleiro,,,3,1,1
Jack Cork,,,1,2,6
Jack Simpson,,,0,0,0
Jack Stephens,,,1,0,4
Jack Wilshere,,,0,1,2
Jacob Murphy,,,0,1,0
Jaïro Riedewald,,,0,0,0
Jamal Lascelles,,,0,1,4
James Garner,,,0,0,0
James Maddison,,,7,7,5
James McArthur,,,3,6,7
James McCarthy,,,0,0,0
James Milner,,,5,4,7
James Tarkowski,,,3,1,8
James Tomkins,,,1,1,6
James Ward-Prowse,,,7,0,4
Jamie Sterry,,,0,0,0
Jamie Vardy,,,18,4,4
Jan Bednarek,,,0,1,7
Jan Vertonghen,,,1,0,5
Jannik Vestergaard,,,0,0,2
Jason Puncheon,,,0,0,1
Jason Steele,,,0,0,0
Javier Hernandez,,,7,1,2
Javier Manquillo Gaitán,,,0,3,2
Jayson Molumby,,,0,0,0
Jazz Richards,,,0,0,0
Jean Michau00ebl Seri,,,1,2,6
Jeff Hendrick,,,3,0,4
Jefferson Lerma,,,2,0,12
Jeffrey Schlupp,,,4,1,1
Jermain Defoe,,,0,0,0
Jesse Lingard,,,4,2,3
João Moutinho,,,1,8,4
Joe Bennett,,,0,1,5
Joe Bryan,,,0,1,5
Joe Daniel Tupper,,,0,0,0
Joe Gomez,,,0,0,2
Joe Hart,,,0,0,0
Joe Powell,,,0,0,0
Joe Ralls,,,0,0,5
Joel Coleman,,,0,0,0
Joel Matip,,,1,0,3
Joel Ward,,,1,0,1
Johann Berg Guðmunds­son,,,3,6,2
John Ruddy,,,0,0,0
John Stones,,,0,0,1
Jon Gorenc Stankovič,,,1,0,2
Jonas Lössl,,,0,1,1
Jonathan Hogg,,,0,1,9
Jonathan Walters,,,0,0,0
Jonjo Shelvey,,,1,1,1
Jonjoe Kenny,,,0,1,1
Jonny,,,1,1,6
Jonny Evans,,,1,0,2
Jordan Ayew,,,1,2,3
Jordan Henderson,,,1,3,3
Jordan Pickford,,,0,0,1
Jordon Ibe,,,1,1,1
Jorginho,,,2,0,8
José Diogo Dalot Teixeira,,,0,2,3
José Holebas,,,3,6,13
Jose Izquierdo,,,0,1,1
José Luis Sanmartín Mato,,,2,0,1
Joseph Willock,,,0,0,0
Josh Benson,,,0,0,0
Josh Knight,,,0,0,0
Josh Murphy,,,3,2,2
Joshua King,,,12,3,3
Joshua Sims,,,0,1,0
Juan Marcos Foyth,,,1,0,4
Juan Mata,,,3,2,3
Julián Speroni,,,0,0,0
Juninho Bacuna,,,1,0,4
Junior Stanislas,,,2,3,1
Jürgen Locadia,,,2,0,1
Kadeem Harris,,,1,0,1
Karl Darlow,,,0,0,0
Karlan Ahearne-Grant,,,4,0,0
Kasper Schmeichel,,,0,0,3
Kayne Ramsey,,,0,0,0
Kazaiah Sterling,,,0,0,0
Kelechi Iheanacho,,,1,3,2
Kelland Watts,,,0,0,0
Ken Sema,,,1,2,1
Kenneth Dahrup Zohorè,,,1,1,1
Kepa Arrizabalaga,,,0,0,2
Kevin De Bruyne,,,2,2,2
Kevin Long,,,0,1,0
Kevin McDonald,,,0,0,6
Kieran Dowell,,,0,0,0
Kieran Trippier,,,1,3,2
Konstantinos Mavropanos,,,0,0,1
Kortney Hause,,,0,0,0
Kurt Happy Zouma,,,2,2,5
Kyle Taylor,,,0,0,0
Kyle Walker,,,1,1,3
Kyle Walker-Peters,,,0,3,1
Laurent Depoitre,,,0,1,1
Laurent Koscielny,,,3,0,1
Lazar Marković,,,0,0,0
Leander Dendoncker,,,2,0,1
Leandro Bacuna,,,0,0,2
Lee Grant,,,0,0,0
Lee Peltier,,,0,0,4
Leighton Baines,,,0,0,0
Leon Balogun,,,1,0,2
Leonardo Bonatini Lohner Maia,,,0,1,0
Leroy Sané,,,10,10,1
Lewis Cass,,,0,0,0
Lewis Cook,,,0,0,2
Lewis Dunk,,,2,1,7
Loïc Damour,,,0,0,0
Loris Karius,,,0,0,0
Luca de la Torre,,,0,0,0
Lucas Digne,,,4,4,6
Lucas Moura,,,10,0,3
Lucas Perez,,,3,0,0
Lucas Torreira,,,2,2,8
Luciano Vietto,,,1,4,1
Luka Milivojević,,,12,2,10
Luke Amos,,,0,0,0
Luke Dreher,,,0,0,0
Luke Shaw,,,1,4,11
Lys Mousset,,,1,0,1
Maarten Stekelenburg,,,0,0,0
Mamadou Sakho,,,0,0,2
Manolo Gabbiadini,,,1,0,0
Manuel Lanzini,,,1,1,2
Marc Albrighton,,,2,2,3
Marc Guehi,,,0,0,0
Marc Navarro Ceciliano,,,0,0,0
Marc Pugh,,,0,0,0
Marcos Alonso,,,2,4,6
Marcus Bettinelli,,,0,0,1
Marcus Rashford,,,10,6,4
Mario Lemina,,,1,1,5
Mark Noble,,,5,5,7
Mark Travers,,,0,0,0
Marko Arnautović,,,10,4,3
Markus Suttner,,,0,0,0
Marouane Fellaini,,,0,1,1
Martin Dúbravka,,,0,0,1
Martin Kelly,,,0,0,2
Martín Montoya,,,0,1,4
Mason Greenwood,,,0,0,0
Mason Holgate,,,0,0,1
Matěj Vydra,,,1,1,1
Mateo Kovačić,,,0,2,3
Mathew Ryan,,,0,0,2
Mathias Jattah-Njie Jørgensen,,,3,1,6
Matt Butcher,,,0,0,0
Matt Doherty,,,4,5,5
Matt Ritchie,,,2,8,9
Matt Targett,,,1,3,2
Matteo Darmian,,,0,0,0
Mattéo Guendouzi Olié,,,0,0,9
Matthew Connolly,,,0,0,0
Matthew Lowton,,,0,0,7
Matty Daly,,,0,0,0
Max Harrison Sanders,,,0,0,0
Max Kilman,,,0,0,0
Max Meyer,,,1,2,3
Maxime Le Marchand,,,0,1,5
Maya Yoshida,,,0,1,0
Mesut Özil,,,5,2,2
Michael Keane,,,1,2,2
Michael Obafemi,,,1,1,1
Michail Antonio,,,6,4,3
Michel Vorm,,,0,0,0
Michy Batshuayi,,,5,0,0
Miguel Ángel Almirón Rejala,,,0,0,0
Miguel Ángel Britos Cabrera,,,0,0,0
Mohamed Diamé,,,0,0,3
Mohamed Elneny,,,0,0,0
Mohamed Elyounoussi,,,0,0,0
Mohamed Salah,,,22,8,1
Morgan Gibbs-White,,,0,1,1
Morgan Schneiderlin,,,0,1,2
Moussa Dembele,,,0,0,1
Moussa Sissoko,,,0,3,2
N'Golo Kanté,,,4,4,3
Naby Deco Keïta,,,2,1,0
Nacho Monreal,,,1,3,5
Nampalys Mendy,,,0,0,5
Nathan Aké,,,4,0,3
Nathan Holland,,,0,0,0
Nathan Redmond,,,6,4,3
Nathaniel Chalobah,,,0,0,2
Nathaniel Clyne,,,0,1,2
Nathaniel Mendez-Laing,,,4,1,0
Neeskens Kebano,,,0,0,0
Neil Leonard Dula Etheridge,,,0,0,2
Nemanja Matić,,,1,0,8
Nicolas Otamendi,,,0,0,1
Nikola Tavares,,,0,0,0
Nnamdi Ofoborh,,,0,0,0
Oleksandr Zinchenko,,,0,3,1
Oliver Skipp,,,0,0,0
Olivier Giroud,,,2,4,1
Oriol Romeu,,,1,0,11
Oumar Niasse,,,0,0,0
Pablo Zabaleta,,,0,1,4
Pape N'Diaye Souaré,,,0,0,0
Pascal Groß,,,3,3,1
Patrick van Aanholt,,,3,2,3
Paul Dummett,,,0,0,1
Paul Pogba,,,13,9,6
Paulo Dino Gazzaniga,,,0,0,0
Pedro Obiang,,,0,1,0
Pedro Rodriguez,,,8,2,2
Peter Crouch,,,0,0,1
Petr Čech,,,0,0,0
Phil Bardsley,,,0,0,9
Phil Foden,,,1,0,0
Phil Jagielka,,,1,0,1
Phil Jones,,,0,1,1
Philip Billing,,,2,0,7
Philippe Sandler,,,0,0,0
Pierre-Emerick Aubameyang,,,22,5,0
Pierre-Emile Højbjerg,,,4,3,10
Rachid Ghezzal,,,1,0,3
Rafael Euclides Soares Camacho,,,0,0,0
Raheem Sterling,,,17,10,3
Rajiv van La Parra,,,0,0,0
Ramadan Sobhi,,,0,0,0
Raúl Alonso Jiménez Rodríguez,,,13,7,4
Rhys Healey,,,0,0,0
Ricardo Domingos Barbosa Pereira,,,2,6,7
Richarlison,,,13,1,6
Riyad Mahrez,,,7,4,0
Rob Holding,,,0,0,1
Robbie Brady,,,0,1,4
Robert Kenedy Nunes do Nascimento,,,1,1,1
Robert Snodgrass,,,2,5,10
Roberto Firmino,,,12,6,0
Roberto Maximiliano Pereyra,,,6,1,3
Romain Saïss,,,2,0,7
Romelu Lukaku,,,12,0,4
Rondon,,,11,7,1
Ross Barkley,,,3,5,1
Rúben Diogo Da Silva Neves,,,4,3,8
Rúben Gonçalo Silva Nascimento Vinagre,,,0,0,1
Ruben Loftus-Cheek,,,6,2,0
Rui Pedro dos Santos Patrício,,,0,0,0
Ryan Bennett,,,1,0,12
Ryan Bertrand,,,1,0,8
Ryan Fraser,,,7,14,2
Ryan Fredericks,,,1,0,5
Ryan Giles,,,0,0,0
Ryan Guno Babel,,,5,3,3
Ryan Schofield,,,0,0,0
Ryan Sessegnon,,,2,6,0
Sadio Mané,,,22,1,2
Sam Gallagher,,,0,0,0
Sam Surridge,,,0,0,0
Sam Vokes,,,3,0,0
Sam Woods,,,0,0,0
Samir Nasri,,,0,2,0
Sandro Ramirez,,,0,0,0
Scott Dann,,,0,1,1
Scott McTominay,,,2,0,1
Sead Kolašinac,,,0,5,5
Séamus Coleman,,,2,2,1
Sean Longstaff,,,1,0,2
Sean Morrison,,,1,3,6
Sebastian Prödl,,,0,0,0
Serge Aurier,,,0,2,1
Sergio Aguero,,,21,8,3
Sergio Germán Romero,,,0,0,0
Sergio Rico,,,0,0,1
Shane Duffy,,,5,1,5
Shane Long,,,5,1,3
Shinji Okazaki,,,0,1,0
Shkodran Mustafi,,,2,0,9
Simon Francis,,,0,2,1
Simon Mignolet,,,0,0,0
Sokratis Papastathopoulos,,,1,2,12
Solomon March,,,1,5,1
Souleymane Bamba,,,4,1,7
Stefan Marius Johansen,,,0,0,4
Stefano Okaka,,,0,0,1
Stephan Lichtsteiner,,,0,0,3
Stephen Ward,,,0,0,1
Steve Cook,,,1,1,3
Steve Mounié,,,2,3,2
Steven Davis,,,0,1,0
Steven Defour,,,0,0,0
Stuart Armstrong,,,3,2,2
Sullay Kaikai,,,0,0,0
Sung-Yeung Ki,,,0,1,2
Tahith Chong,,,0,0,0
Terence Kongolo,,,1,1,4
Theo Walcott,,,5,2,1
Tim Ream,,,0,0,1
Timothy Eyoma,,,0,0,0
Timothy Fosu-Mensah,,,0,0,3
Toby Alderweireld,,,0,0,3
Tom Cairney,,,1,1,0
Tom Cleverley,,,1,0,2
Tom Davies,,,0,0,3
Tom Heaton,,,0,0,3
Tom Smith,,,0,0,3
Trent Alexander-Arnold,,,1,12,3
Troy Deeney,,,9,5,5
Tyias Browning,,,0,0,0
Tyreke Johnson,,,0,0,0
Tyrone Mings,,,0,0,0
Vicente Guaita,,,0,0,2
Vicente Iborra De La Fuente,,,0,0,0
Víctor Camarasa,,,5,4,6
Victor Moses,,,0,0,0
Victor Nilsson Lindelöf,,,1,1,1
Victor Wanyama,,,1,0,2
Viktor Gyökeres,,,0,0,0
Vincent Janssen,,,0,0,0
Vincent Kompany,,,1,0,6
Virgil van Dijk,,,4,2,1
Wayne Hennessey,,,0,0,0
Wes Morgan,,,3,0,5
Wesley Hoedt,,,0,0,2
Wilfred Ndidi,,,2,0,8
Wilfredo Daniel Caballero,,,0,0,0
Wilfried Zaha,,,10,5,10
Will Hughes,,,2,4,5
Will Norris,,,0,0,0
Willian,,,3,6,2
Willy Boly,,,4,0,3
Xherdan Shaqiri,,,6,3,2
Yann Valery,,,2,1,5
Yerry Fernando Mina González,,,1,0,3
Yoshinori Muto,,,1,0,1
Youri Tielemans,,,3,4,2
Yves Bissouma,,,0,0,5
Zechariah Medley,,,0,0,0
Zeze  Steven Sessegnon,,,0,0,0
Łukasz Fabiański,,,0,0,0